fastq	bam	bed	qc	genomics_id	ngs_id	reference_genome_source_value	sequencing_device_source_value	read_type_source_value	read_length	seq_type_source_value	assay_id
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484793_Donor1_Day38_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X11
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484792_Donor1_Day37_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X12
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484791_Donor1_Day37_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X13
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484790_Donor1_Day224_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X14
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484789_Donor1_Day224_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X15
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484788_Donor1_Day2_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X16
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484787_Donor1_Day2_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X17
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484786_Donor1_Day1_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X18
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484785_Donor1_Day1_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X19
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484784_Donor1_4hrsControl_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X20
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484783_Donor1_4hrsControl_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X21
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484806_Donor10_Day38_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X22
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484805_Donor10_Day224_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X23
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484804_Donor10_Day224_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X24
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484808_Donor11_CTCL_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X25
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484807_Donor11_CTCL_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X26
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484812_Donor11_CTCL_Rep6.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X27
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484811_Donor11_CTCL_Rep5.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X28
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484810_Donor11_CTCL_Rep4.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X29
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484813_Donor11_CTCL_Rep7.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X30
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484809_Donor11_CTCL_Rep3.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X31
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484816_Donor2_Day37_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X32
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484815_Donor2_Day224_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X33
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484814_Donor2_Day224_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X34
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484820_Donor20_CTCL_Rep4.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X35
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484819_Donor20_CTCL_Rep3.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X36
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484818_Donor20_CTCL_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X37
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484817_Donor20_CTCL_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X38
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484821_Donor3_Day37_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X39
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484840_Donor31_Day192_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X40
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484839_Donor31_Day192_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X41
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484823_Donor32_Day224_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X42
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484822_Donor32_Day224_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X43
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484825_Donor33_Day224_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X44
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484824_Donor33_Day224_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X45
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484830_Donor4_Day37_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X46
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484829_Donor4_Day224_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X47
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484828_Donor4_Day224_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X48
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484827_Donor4_Day107_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X49
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484826_Donor4_Day107_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X50
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484834_Donor5_CTCL_Rep4.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X51
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484833_Donor5_CTCL_Rep3.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X52
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484832_Donor5_CTCL_Rep2.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X53
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484831_Donor5_CTCL_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X54
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484835_Donor6_Day38_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X55
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484836_Donor7_Day38_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X56
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484837_Donor8_Day38_Rep1.bed.gz	0	G1	N1	hg19	Illumina HiSeq 2000	PAIRED	0	ATAC-Seq	X57
0	0	/pylon5/brz3a1p/codeathon/Chroma_T-Cell/Data/GSE60682/GSM1484837_Donor8_Day38_Rep1.bed.gz	1	G2	N2	hg19	Illumina HiSeq 2001	PAIRED	1	ATAC-Seq	X58
